session_id,label
db7fca70-28e,normal
339221cc-e5c,normal
7e7203ca-d76,normal
00349809-644,normal
64c9dea7-989,normal
44bca103-779,normal
3ce8f5d8-f94,normal
a775edc0-ff9,normal
02a66774-8f5,normal
50374848-28f,normal
3d24f9cc-44c,normal
1d3ab262-25c,normal
96e7531f-955,normal
9cd171e3-ab4,normal
ed42cf20-528,normal
e5a4fef1-ee1,normal
812b0634-986,normal
67caa0df-f31,normal
6b943a5f-80b,normal
e87cbfcf-47d,normal
d0c72148-9e3,normal
a7e3c53b-f01,normal
f447a2ae-331,normal
65a1025a-78c,normal
835db753-2ef,normal
bdfe0d0c-617,normal
692d9389-984,normal
06db46ba-962,normal
909e41e5-c34,normal
e6ad49b9-4b7,normal
372721f6-c25,normal
52e46220-e34,normal
7a265093-fea,normal
b7175b40-4eb,normal
53e4161e-b8f,normal
a743a476-337,normal
abf5e6d5-fec,normal
6e327350-41d,normal
ec03f7cd-dbd,normal
ee538776-65d,normal
f10858d3-6aa,normal
9846507a-a7c,normal
54c683f7-e5b,normal
8c7c6907-237,normal
b11d2b09-c45,normal
98c125cb-68f,normal
9ae4425c-219,normal
efe693c7-a30,normal
94469446-2cb,normal
38af6fae-971,normal
b613bc59-3e3,normal
7c26f932-30c,normal
b8f1a731-703,normal
7353eefc-cde,normal
eccbccfd-ce0,normal
9d3a22d0-fdc,normal
d586f7b8-e45,normal
9357900c-9cb,normal
2df87018-bdd,normal
ee417450-2bf,normal
658f49d7-f49,normal
fa8c0118-450,normal
4ba348d2-c7b,normal
4c178da3-072,normal
3c252dc0-529,normal
05a36b02-e17,normal
255df11b-f47,normal
e930259a-d11,normal
48b8a226-378,normal
6ff0f0c9-90c,normal
65bde4de-1cc,normal
f0c7b5d1-46d,anomaly_lateral_movement
998bd502-e47,normal
1545a523-6c0,normal
85f548cb-a1e,normal
6bbfba5a-534,anomaly_lateral_movement
876b22a0-895,normal
752fdd6c-a5d,normal
a9b8c858-1f9,anomaly_lateral_movement
3d816b68-bd1,anomaly_lateral_movement
34b9970d-dd3,normal
ab4f996d-6e4,normal
8b19d424-b97,normal
64eb1686-041,normal
c67e22c8-fb2,anomaly_lateral_movement
a139381a-055,normal
08531567-e08,normal
c2939608-89a,normal
eaa6eea3-d1d,normal
474332e2-2d4,normal
c2436c51-4fe,normal
8e3ff91b-b3e,normal
de4c5e04-65f,normal
f8dab0cc-7f2,normal
dc09f915-381,normal
b1bedb6c-cdc,anomaly_lateral_movement
9d0f8a99-80f,normal
a66c07fd-eb9,normal
dae3474e-b8f,normal
11194d1a-3ba,normal
efc024e9-7d5,normal
7e4da03a-f53,normal
47c344b6-2f7,normal
c0a3269f-73b,normal
ba8cd188-413,normal
432eac0c-379,normal
7b40e8c0-71d,normal
ede53328-827,normal
1e7d69d2-2a9,normal
b0528b75-c76,normal
17ac8df8-660,anomaly_lateral_movement
9408429b-5b8,normal
a35b9af4-923,normal
2f177853-61f,normal
626cc1ce-403,normal
ef6f3ed3-b27,normal
14dfa3f8-8b2,normal
90b0ca9d-7b0,normal
f280237c-72f,normal
439e8334-07a,normal
0ddfa0e7-c28,normal
19bbe706-54a,normal
452f2742-f77,normal
cadb4bc4-2ff,normal
f26a454c-bf0,normal
c36168f4-b53,normal
5d4d9d4d-a79,normal
e6455ee5-081,normal
4ef04935-b71,normal
c4c2f65c-c59,normal
ca287490-3c1,normal
186a31c0-c6e,normal
20792e7b-523,normal
8665ecf4-1ce,normal
316d1ee0-c6c,normal
ad8365f8-e1a,normal
9f86bb82-153,normal
21cecac8-291,normal
29be3fc4-eda,normal
43c6cd45-d9b,normal
c7094a13-17b,normal
f9ca967e-9c3,normal
54504e57-0f8,normal
650b3287-223,normal
a18cee73-166,normal
0214e2fe-3cd,normal
40ef0fed-e4b,normal
9b7079c1-b25,normal
71a8acd7-d8c,normal
229431a6-bc6,normal
ec392994-dd3,normal
afd53bcb-564,normal
ac2ff1a9-280,normal
f5c2dd8b-f84,normal
a402ff52-974,normal
da9677e6-f7a,normal
8449a340-80d,normal
46ca0593-55c,normal
04adf436-cf2,normal
a9a94e1a-d2c,normal
c0c741ab-f95,normal
5db26c96-924,normal
bd075586-1e5,normal
e05c1123-e32,normal
35d1f31b-f84,normal
3adad423-58a,normal
a4650d43-b42,normal
