session_id,entity_id,entity_type,timestamp,resource_accessed,source_ip,label,predicted_label,anomaly_score,rationale
57046cb3-f0d,svc_011,service_account,2026-06-25 04:02:28,port_1883_mqtt,192.24.76.90,anomaly_credential_stuffing,anomaly_credential_stuffing,0.99999964,"Flagged due to: distinct accounts from same source IP (1h) (18.0 accounts, SHAP +2.89); unrecognized device fingerprint (SHAP +1.54); authentication failed (SHAP +0.91)"
9f5b389a-dd8,svc_022,service_account,2026-06-28 08:00:28,port_3389_rdp,136.125.84.136,anomaly_credential_stuffing,anomaly_credential_stuffing,0.99999964,"Flagged due to: distinct accounts from same source IP (1h) (6.0 accounts, SHAP +2.93); unrecognized device fingerprint (SHAP +1.53); deviation from entity's typical session length (-3.6 std devs, SHAP +0.93)"
f108c9d3-731,user_0004,user,2026-06-25 04:01:20,vpn_gateway_1,192.24.76.90,anomaly_credential_stuffing,anomaly_credential_stuffing,0.99999964,"Flagged due to: distinct accounts from same source IP (1h) (14.0 accounts, SHAP +2.90); unrecognized device fingerprint (SHAP +1.54); authentication failed (SHAP +0.92)"
13042658-eac,user_0035,user,2026-06-25 04:00:48,device_fn_telemetry_push,192.24.76.90,anomaly_credential_stuffing,anomaly_credential_stuffing,0.99999964,"Flagged due to: distinct accounts from same source IP (1h) (12.0 accounts, SHAP +2.97); unrecognized device fingerprint (SHAP +1.53); authentication failed (SHAP +0.93)"
be6719f7-04c,user_0101,user,2026-06-25 04:00:19,source_repo_frontend,222.142.10.187,anomaly_credential_stuffing,anomaly_credential_stuffing,0.99999964,"Flagged due to: distinct accounts from same source IP (1h) (5.0 accounts, SHAP +2.85); unrecognized device fingerprint (SHAP +1.54); deviation from entity's typical session length (-3.0 std devs, SHAP +0.94)"
56b18e9a-07b,user_0066,user,2026-06-11 06:01:08,vpn_gateway_2,126.78.46.155,anomaly_credential_stuffing,anomaly_credential_stuffing,0.99999964,"Flagged due to: distinct accounts from same source IP (1h) (9.0 accounts, SHAP +3.00); unrecognized device fingerprint (SHAP +1.53); authentication failed (SHAP +0.94)"
c04f9176-77e,svc_020,service_account,2026-06-28 08:00:42,device_fn_telemetry_push,201.117.230.59,anomaly_credential_stuffing,anomaly_credential_stuffing,0.99999964,"Flagged due to: distinct accounts from same source IP (1h) (5.0 accounts, SHAP +2.91); unrecognized device fingerprint (SHAP +1.54); deviation from entity's typical session length (-3.4 std devs, SHAP +0.95)"
47325bad-c6a,user_0102,user,2026-06-07 20:02:00,port_3389_rdp,51.20.66.139,anomaly_credential_stuffing,anomaly_credential_stuffing,0.99999964,"Flagged due to: distinct accounts from same source IP (1h) (13.0 accounts, SHAP +3.01); unrecognized device fingerprint (SHAP +1.52); authentication failed (SHAP +0.92)"
d2f621cd-096,user_0038,user,2026-06-11 05:01:51,device_fn_reboot,108.11.173.177,anomaly_credential_stuffing,anomaly_credential_stuffing,0.99999964,"Flagged due to: distinct accounts from same source IP (1h) (18.0 accounts, SHAP +2.94); unrecognized device fingerprint (SHAP +1.53); authentication failed (SHAP +0.93)"
1a6514f8-9cd,user_0070,user,2026-06-11 05:00:12,source_repo_frontend,108.226.40.127,anomaly_credential_stuffing,anomaly_credential_stuffing,0.99999964,"Flagged due to: distinct accounts from same source IP (1h) (3.0 accounts, SHAP +2.96); unrecognized device fingerprint (SHAP +1.53); authentication failed (SHAP +0.92)"
8c01b46b-80c,user_0083,user,2026-06-07 20:00:36,device_fn_reboot,156.79.116.162,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (5.0 accounts, SHAP +3.03); unrecognized device fingerprint (SHAP +1.52); authentication failed (SHAP +0.93)"
2c71d91f-cfe,svc_014,service_account,2026-06-25 04:01:04,print_server,222.142.10.187,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (9.0 accounts, SHAP +2.96); unrecognized device fingerprint (SHAP +1.54); authentication failed (SHAP +0.88)"
e7ec5956-a44,user_0103,user,2026-06-25 04:00:29,print_server,192.24.76.90,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (8.0 accounts, SHAP +2.95); unrecognized device fingerprint (SHAP +1.55); authentication failed (SHAP +0.88)"
eeb80188-0a5,svc_006,service_account,2026-06-06 02:00:10,admin_panel_iam,173.37.155.141,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (3.0 accounts, SHAP +2.95); unrecognized device fingerprint (SHAP +1.53); authentication failed (SHAP +0.91)"
09757f4c-912,user_0057,user,2026-06-11 06:01:00,device_fn_reboot,126.78.46.155,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (7.0 accounts, SHAP +3.12); unrecognized device fingerprint (SHAP +1.55); authentication failed (SHAP +1.02)"
e3ce9596-d03,user_0013,user,2026-06-25 04:00:25,iot_hub_controller,192.24.76.90,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (7.0 accounts, SHAP +2.95); unrecognized device fingerprint (SHAP +1.53); authentication failed (SHAP +0.93)"
2a4a500a-9f5,user_0018,user,2026-06-25 04:00:24,crm_system,192.24.76.90,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (6.0 accounts, SHAP +3.11); unrecognized device fingerprint (SHAP +1.55); authentication failed (SHAP +1.00)"
e4be9253-a4f,user_0105,user,2026-06-06 02:00:21,file_share_finance,165.11.144.157,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (3.0 accounts, SHAP +2.94); unrecognized device fingerprint (SHAP +1.53); authentication failed (SHAP +0.92)"
d411e595-1cc,svc_019,service_account,2026-06-06 02:00:24,vpn_gateway_2,165.11.144.157,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (4.0 accounts, SHAP +2.86); unrecognized device fingerprint (SHAP +1.54); deviation from entity's typical session length (-3.8 std devs, SHAP +0.96)"
a39ac32c-16d,svc_022,service_account,2026-06-07 20:00:28,vpn_gateway_2,51.20.66.139,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (4.0 accounts, SHAP +2.92); unrecognized device fingerprint (SHAP +1.53); deviation from entity's typical session length (-3.2 std devs, SHAP +0.95)"
aafc42d4-da5,svc_023,service_account,2026-06-07 20:00:30,api_gateway_orders,156.79.116.162,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (4.0 accounts, SHAP +2.92); unrecognized device fingerprint (SHAP +1.54); deviation from entity's typical session length (-3.3 std devs, SHAP +0.92)"
005f2f49-481,user_0010,user,2026-06-11 05:02:16,financial_system_erp,108.226.40.127,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (22.0 accounts, SHAP +2.97); unrecognized device fingerprint (SHAP +1.53); authentication failed (SHAP +0.91)"
e9944818-d2a,user_0090,user,2026-06-06 02:00:24,file_share_eng,173.37.155.141,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (7.0 accounts, SHAP +2.96); unrecognized device fingerprint (SHAP +1.55); authentication failed (SHAP +0.88)"
80b06380-43c,user_0086,user,2026-06-06 02:00:38,print_server,173.37.155.141,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (11.0 accounts, SHAP +3.01); unrecognized device fingerprint (SHAP +1.54); authentication failed (SHAP +0.89)"
15d0ec97-e3f,user_0060,user,2026-05-12 02:00:54,source_repo_backend,58.164.239.156,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (12.0 accounts, SHAP +3.13); unrecognized device fingerprint (SHAP +1.51); authentication failed (SHAP +0.93)"
e78f5976-2a0,user_0065,user,2026-06-11 05:00:09,port_1883_mqtt,108.226.40.127,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (2.0 accounts, SHAP +3.06); unrecognized device fingerprint (SHAP +1.55); authentication failed (SHAP +1.00)"
13c35733-574,user_0038,user,2026-06-28 08:00:14,device_fn_firmware_update,201.117.230.59,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (2.0 accounts, SHAP +3.00); unrecognized device fingerprint (SHAP +1.53); authentication failed (SHAP +0.92)"
d5737555-97c,user_0028,user,2026-06-11 06:02:00,device_fn_reboot,137.126.67.157,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (12.0 accounts, SHAP +3.12); unrecognized device fingerprint (SHAP +1.51); authentication failed (SHAP +0.95)"
25476853-331,user_0101,user,2026-06-28 08:00:15,source_repo_frontend,201.117.230.59,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (3.0 accounts, SHAP +3.13); unrecognized device fingerprint (SHAP +1.55); authentication failed (SHAP +0.97)"
5c58254b-579,svc_017,service_account,2026-06-11 05:00:41,iot_hub_controller,108.226.40.127,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (13.0 accounts, SHAP +2.86); unrecognized device fingerprint (SHAP +1.54); deviation from entity's typical session length (-4.0 std devs, SHAP +0.91)"
396bcd46-22d,user_0093,user,2026-06-28 08:00:30,device_fn_telemetry_push,136.125.84.136,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (7.0 accounts, SHAP +3.00); unrecognized device fingerprint (SHAP +1.53); deviation from entity's typical session length (-3.6 std devs, SHAP +0.93)"
962eeff8-ff3,user_0016,user,2026-06-25 04:02:00,api_gateway_payments,222.142.10.187,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (15.0 accounts, SHAP +2.95); unrecognized device fingerprint (SHAP +1.53); deviation from entity's typical session length (-3.9 std devs, SHAP +0.88)"
5585003c-102,svc_017,service_account,2026-06-25 04:02:08,iot_hub_controller,222.142.10.187,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (17.0 accounts, SHAP +2.84); unrecognized device fingerprint (SHAP +1.54); deviation from entity's typical session length (-3.3 std devs, SHAP +0.94)"
a85969aa-977,user_0118,user,2026-06-06 02:00:40,port_22_ssh,173.37.155.141,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (12.0 accounts, SHAP +2.95); unrecognized device fingerprint (SHAP +1.53); authentication failed (SHAP +0.92)"
10ffa5e6-7ee,user_0095,user,2026-05-15 05:01:03,db_prod_orders,192.243.201.170,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (4.0 accounts, SHAP +3.12); unrecognized device fingerprint (SHAP +1.51); authentication failed (SHAP +0.93)"
3effc01f-b1c,user_0072,user,2026-06-06 02:00:40,crm_system,165.11.144.157,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (5.0 accounts, SHAP +3.05); unrecognized device fingerprint (SHAP +1.52); authentication failed (SHAP +0.92)"
59c4f207-303,user_0037,user,2026-06-11 05:00:10,iot_hub_controller,108.11.173.177,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (4.0 accounts, SHAP +2.90); unrecognized device fingerprint (SHAP +1.54); authentication failed (SHAP +0.92)"
89350955-098,user_0059,user,2026-06-25 04:00:34,source_repo_backend,222.142.10.187,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999996,"Flagged due to: distinct accounts from same source IP (1h) (8.0 accounts, SHAP +3.04); unrecognized device fingerprint (SHAP +1.55); authentication failed (SHAP +0.97)"
8cbb3f6d-625,user_0046,user,2026-06-25 04:00:34,port_445_smb,192.24.76.90,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999995,"Flagged due to: distinct accounts from same source IP (1h) (10.0 accounts, SHAP +3.05); unrecognized device fingerprint (SHAP +1.55); authentication failed (SHAP +0.96)"
69d0e28d-cc1,user_0050,user,2026-06-25 04:01:15,file_share_hr,222.142.10.187,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999995,"Flagged due to: distinct accounts from same source IP (1h) (11.0 accounts, SHAP +2.96); unrecognized device fingerprint (SHAP +1.53); authentication failed (SHAP +0.91)"
8b5daad6-65b,user_0058,user,2026-06-11 05:00:33,db_prod_customers,108.11.173.177,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999995,"Flagged due to: distinct accounts from same source IP (1h) (10.0 accounts, SHAP +3.11); unrecognized device fingerprint (SHAP +1.55); authentication failed (SHAP +0.94)"
ea45a611-e19,user_0062,user,2026-06-11 05:00:32,file_share_finance,108.226.40.127,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999995,"Flagged due to: distinct accounts from same source IP (1h) (9.0 accounts, SHAP +3.19); unrecognized device fingerprint (SHAP +1.50); authentication failed (SHAP +0.92)"
eb453c18-545,user_0001,user,2026-05-26 22:01:00,db_analytics,147.198.153.227,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999995,"Flagged due to: distinct accounts from same source IP (1h) (8.0 accounts, SHAP +3.03); unrecognized device fingerprint (SHAP +1.52); authentication failed (SHAP +0.91)"
e6588c76-e6a,svc_010,service_account,2026-06-28 08:01:14,file_share_eng,52.37.136.109,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999995,"Flagged due to: distinct accounts from same source IP (1h) (11.0 accounts, SHAP +2.95); unrecognized device fingerprint (SHAP +1.55); deviation from entity's typical session length (-3.4 std devs, SHAP +0.90)"
cb7e1c58-6bf,svc_022,service_account,2026-05-26 22:00:20,port_3389_rdp,60.148.25.34,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999995,"Flagged due to: distinct accounts from same source IP (1h) (5.0 accounts, SHAP +2.97); unrecognized device fingerprint (SHAP +1.52); deviation from entity's typical session length (-3.7 std devs, SHAP +0.92)"
72c23204-e3a,user_0081,user,2026-06-07 20:00:36,crm_system,51.20.66.139,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999995,"Flagged due to: distinct accounts from same source IP (1h) (7.0 accounts, SHAP +3.25); unrecognized device fingerprint (SHAP +1.54); authentication failed (SHAP +1.01)"
7e5a635e-cb5,svc_007,service_account,2026-06-07 20:00:39,device_fn_telemetry_push,51.20.66.139,anomaly_credential_stuffing,anomaly_credential_stuffing,0.9999995,"Flagged due to: distinct accounts from same source IP (1h) (8.0 accounts, SHAP +3.17); unrecognized device fingerprint (SHAP +1.54); authentication failed (SHAP +0.96)"
